,model_type,data_type,feat_type,best_f1,best_accuracy,avg_f1,avg_accuracy
0,sentence-transformers/paraphrase-mpnet-base-v2,abstract,struc,0.56,0.58,0.45,0.52
1,sentence-transformers/paraphrase-mpnet-base-v2,abstract,cat,0.75,0.75,0.71,0.72
2,sentence-transformers/paraphrase-mpnet-base-v2,abstract,emb,0.76,0.75,0.68,0.7
3,sentence-transformers/paraphrase-mpnet-base-v2,abstract,struc+cat,0.83,0.83,0.72,0.72
4,sentence-transformers/paraphrase-mpnet-base-v2,abstract,struc+emb,0.83,0.83,0.69,0.72
5,sentence-transformers/paraphrase-mpnet-base-v2,abstract,cat+emb,0.84,0.83,0.73,0.73
6,sentence-transformers/paraphrase-mpnet-base-v2,abstract,all,0.83,0.83,0.69,0.68
7,sentence-transformers/paraphrase-mpnet-base-v2,sec_name,struc,0.56,0.58,0.45,0.52
8,sentence-transformers/paraphrase-mpnet-base-v2,sec_name,cat,0.75,0.75,0.71,0.72
9,sentence-transformers/paraphrase-mpnet-base-v2,sec_name,emb,0.83,0.83,0.7,0.72
10,sentence-transformers/paraphrase-mpnet-base-v2,sec_name,struc+cat,0.83,0.83,0.72,0.72
11,sentence-transformers/paraphrase-mpnet-base-v2,sec_name,struc+emb,0.75,0.75,0.73,0.73
12,sentence-transformers/paraphrase-mpnet-base-v2,sec_name,cat+emb,0.84,0.83,0.74,0.73
13,sentence-transformers/paraphrase-mpnet-base-v2,sec_name,all,0.84,0.83,0.71,0.72
14,sentence-transformers/paraphrase-mpnet-base-v2,sec_text,struc,0.56,0.58,0.45,0.52
15,sentence-transformers/paraphrase-mpnet-base-v2,sec_text,cat,0.75,0.75,0.71,0.72
16,sentence-transformers/paraphrase-mpnet-base-v2,sec_text,emb,0.83,0.83,0.75,0.75
17,sentence-transformers/paraphrase-mpnet-base-v2,sec_text,struc+cat,0.83,0.83,0.72,0.72
18,sentence-transformers/paraphrase-mpnet-base-v2,sec_text,struc+emb,0.92,0.92,0.74,0.73
19,sentence-transformers/paraphrase-mpnet-base-v2,sec_text,cat+emb,0.84,0.83,0.68,0.7
20,sentence-transformers/paraphrase-mpnet-base-v2,sec_text,all,0.92,0.92,0.73,0.73
21,sentence-transformers/paraphrase-mpnet-base-v2,full_text,struc,0.56,0.58,0.45,0.52
22,sentence-transformers/paraphrase-mpnet-base-v2,full_text,cat,0.75,0.75,0.71,0.72
23,sentence-transformers/paraphrase-mpnet-base-v2,full_text,emb,0.83,0.83,0.71,0.72
24,sentence-transformers/paraphrase-mpnet-base-v2,full_text,struc+cat,0.83,0.83,0.72,0.72
25,sentence-transformers/paraphrase-mpnet-base-v2,full_text,struc+emb,0.82,0.83,0.69,0.7
26,sentence-transformers/paraphrase-mpnet-base-v2,full_text,cat+emb,0.82,0.83,0.69,0.7
27,sentence-transformers/paraphrase-mpnet-base-v2,full_text,all,0.82,0.83,0.69,0.7
28,sentence-transformers/all-mpnet-base-v2,abstract,struc,0.56,0.58,0.45,0.52
29,sentence-transformers/all-mpnet-base-v2,abstract,cat,0.75,0.75,0.71,0.72
30,sentence-transformers/all-mpnet-base-v2,abstract,emb,0.83,0.83,0.75,0.75
31,sentence-transformers/all-mpnet-base-v2,abstract,struc+cat,0.83,0.83,0.72,0.72
32,sentence-transformers/all-mpnet-base-v2,abstract,struc+emb,0.82,0.83,0.7,0.7
33,sentence-transformers/all-mpnet-base-v2,abstract,cat+emb,0.83,0.83,0.68,0.7
34,sentence-transformers/all-mpnet-base-v2,abstract,all,0.92,0.92,0.8,0.8
35,sentence-transformers/all-mpnet-base-v2,sec_name,struc,0.56,0.58,0.45,0.52
36,sentence-transformers/all-mpnet-base-v2,sec_name,cat,0.75,0.75,0.71,0.72
37,sentence-transformers/all-mpnet-base-v2,sec_name,emb,0.82,0.83,0.7,0.72
38,sentence-transformers/all-mpnet-base-v2,sec_name,struc+cat,0.83,0.83,0.72,0.72
39,sentence-transformers/all-mpnet-base-v2,sec_name,struc+emb,0.83,0.83,0.7,0.72
40,sentence-transformers/all-mpnet-base-v2,sec_name,cat+emb,0.83,0.83,0.7,0.72
41,sentence-transformers/all-mpnet-base-v2,sec_name,all,0.92,0.92,0.73,0.73
42,sentence-transformers/all-mpnet-base-v2,sec_text,struc,0.56,0.58,0.45,0.52
43,sentence-transformers/all-mpnet-base-v2,sec_text,cat,0.75,0.75,0.71,0.72
44,sentence-transformers/all-mpnet-base-v2,sec_text,emb,0.92,0.92,0.75,0.75
45,sentence-transformers/all-mpnet-base-v2,sec_text,struc+cat,0.83,0.83,0.72,0.72
46,sentence-transformers/all-mpnet-base-v2,sec_text,struc+emb,0.75,0.75,0.66,0.68
47,sentence-transformers/all-mpnet-base-v2,sec_text,cat+emb,0.83,0.83,0.7,0.7
48,sentence-transformers/all-mpnet-base-v2,sec_text,all,0.92,0.92,0.73,0.73
49,sentence-transformers/all-mpnet-base-v2,full_text,struc,0.56,0.58,0.45,0.52
50,sentence-transformers/all-mpnet-base-v2,full_text,cat,0.75,0.75,0.71,0.72
51,sentence-transformers/all-mpnet-base-v2,full_text,emb,0.83,0.83,0.69,0.7
52,sentence-transformers/all-mpnet-base-v2,full_text,struc+cat,0.83,0.83,0.72,0.72
53,sentence-transformers/all-mpnet-base-v2,full_text,struc+emb,0.84,0.83,0.74,0.75
54,sentence-transformers/all-mpnet-base-v2,full_text,cat+emb,0.83,0.83,0.7,0.7
55,sentence-transformers/all-mpnet-base-v2,full_text,all,0.92,0.92,0.78,0.78
