,model_name,experiment_type,data_type,f1_score,accuracy
0,joeddav/xlm-roberta-large-xnli,auto,abstract,0.27,0.28
1,joeddav/xlm-roberta-large-xnli,auto,full_text,0.45,0.46
2,joeddav/xlm-roberta-large-xnli,auto,sec-name,0.23,0.3
3,joeddav/xlm-roberta-large-xnli,auto,sec-text,0.28,0.33
4,joeddav/xlm-roberta-large-xnli,manual,abstract,0.25,0.41
5,joeddav/xlm-roberta-large-xnli,manual,full_text,0.24,0.32
6,joeddav/xlm-roberta-large-xnli,manual,sec-name,0.13,0.25
7,joeddav/xlm-roberta-large-xnli,manual,sec-text,0.2,0.29
8,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,auto,abstract,0.3,0.4
9,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,auto,full_text,0.17,0.33
10,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,auto,sec-name,0.28,0.33
11,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,auto,sec-text,0.2,0.35
12,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,manual,abstract,0.31,0.38
13,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,manual,full_text,0.21,0.32
14,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,manual,sec-name,0.2,0.27
15,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,manual,sec-text,0.47,0.51
16,facebook/bart-large-mnli,auto,abstract,0.29,0.37
17,facebook/bart-large-mnli,auto,full_text,0.17,0.33
18,facebook/bart-large-mnli,auto,sec-name,0.31,0.37
19,facebook/bart-large-mnli,auto,sec-text,0.2,0.35
20,facebook/bart-large-mnli,manual,abstract,0.24,0.36
21,facebook/bart-large-mnli,manual,full_text,0.6,0.62
22,facebook/bart-large-mnli,manual,sec-name,0.2,0.34
23,facebook/bart-large-mnli,manual,sec-text,0.61,0.63
